Receiver_ID,Name,Type,City,Contact,Claim_ID,Food_ID,Status,Timestamp_formatted
1,Donald Gomez,Shelter,Port Carlburgh,(955)922-5295,254,940,Completed,03:59:00 04-03-2025
1,Donald Gomez,Shelter,Port Carlburgh,(955)922-5295,528,819,Completed,13:45:00 20-03-2025
2,Laurie Ramos,Individual,Lewisburgh,761.042.1570,372,804,Cancelled,09:19:00 03-03-2025
3,Ashley Mckee,NGO,South Randalltown,691-023-0094x856,136,493,Pending,22:58:00 16-03-2025
4,Erika Rose,NGO,South Shaneville,8296491111,239,589,Pending,21:11:00 01-03-2025
4,Erika Rose,NGO,South Shaneville,8296491111,590,505,Cancelled,08:39:00 17-03-2025
6,Mandy Sutton PhD,Shelter,East Sharimouth,682-777-5357,308,227,Completed,18:23:00 17-03-2025
6,Mandy Sutton PhD,Shelter,East Sharimouth,682-777-5357,433,245,Completed,12:40:00 14-03-2025
7,Kenneth Baker,NGO,South Edwinborough,126-645-6386x4071,757,352,Completed,19:20:00 13-03-2025
9,Emily Turner,Shelter,West Robert,001-631-022-6157x520,362,538,Cancelled,09:04:00 02-03-2025
9,Emily Turner,Shelter,West Robert,001-631-022-6157x520,632,393,Completed,13:40:00 20-03-2025
10,Mary Salazar,NGO,Wrightland,001-187-333-7518x11395,25,371,Completed,07:10:00 10-03-2025
10,Mary Salazar,NGO,Wrightland,001-187-333-7518x11395,658,232,Pending,21:49:00 01-03-2025
12,Jennifer Bishop,NGO,Katherineside,+1-801-363-6355x49805,135,256,Cancelled,19:49:00 06-03-2025
14,Brian Fischer,Shelter,Burkeside,947-041-3246x326,532,486,Cancelled,02:33:00 08-03-2025
14,Brian Fischer,Shelter,Burkeside,947-041-3246x326,594,555,Pending,20:01:00 16-03-2025
15,Donald Kelly,NGO,Port Ronald,(935)798-5303,701,833,Completed,16:16:00 14-03-2025
16,Elizabeth Lewis,NGO,Port Tara,500.386.3867x7565,863,30,Pending,22:36:00 09-03-2025
26,Kimberly Lindsey,Charity,Port Matthewmouth,+1-979-511-1434x565,744,379,Pending,07:15:00 14-03-2025
27,Johnny Page,NGO,Susanfurt,251.922.2940,90,378,Completed,16:53:00 04-03-2025
27,Johnny Page,NGO,Susanfurt,251.922.2940,220,374,Cancelled,23:05:00 02-03-2025
27,Johnny Page,NGO,Susanfurt,251.922.2940,710,599,Pending,09:32:00 16-03-2025
28,Mary Franklin,Individual,Courtneyfurt,001-046-188-9986x12178,631,862,Pending,00:37:00 19-03-2025
28,Mary Franklin,Individual,Courtneyfurt,001-046-188-9986x12178,655,215,Completed,12:30:00 11-03-2025
28,Mary Franklin,Individual,Courtneyfurt,001-046-188-9986x12178,899,13,Pending,06:18:00 16-03-2025
31,Rose Powell,NGO,Spencermouth,247-152-7297x648,44,825,Pending,13:02:00 09-03-2025
31,Rose Powell,NGO,Spencermouth,247-152-7297x648,557,324,Cancelled,07:22:00 06-03-2025
31,Rose Powell,NGO,Spencermouth,247-152-7297x648,959,384,Pending,12:40:00 14-03-2025
32,Audrey Perez,Individual,Taylorfort,637-025-7736,332,460,Completed,02:40:00 03-03-2025
33,Anita Kerr,NGO,Walshfort,(568)992-9509,558,435,Completed,07:04:00 07-03-2025
34,Megan Alvarez,Individual,North Robert,6244329386,307,610,Pending,21:15:00 13-03-2025
35,James Castaneda,Shelter,South Rachaelhaven,932-277-2945x55052,80,153,Pending,01:58:00 21-03-2025
35,James Castaneda,Shelter,South Rachaelhaven,932-277-2945x55052,164,918,Pending,03:24:00 04-03-2025
37,Angel Adams,Shelter,West Erik,+1-785-849-9596x994,968,637,Cancelled,00:50:00 19-03-2025
38,Alexander Mullins,Charity,Josephview,(248)481-7680,370,330,Cancelled,17:07:00 14-03-2025
42,Maria Jacobs,NGO,Port Dawntown,(225)019-8954,287,952,Cancelled,02:15:00 18-03-2025
42,Maria Jacobs,NGO,Port Dawntown,(225)019-8954,845,70,Pending,11:24:00 09-03-2025
42,Maria Jacobs,NGO,Port Dawntown,(225)019-8954,918,92,Completed,09:59:00 11-03-2025
43,Bobby Perry,Charity,Amberfort,(020)628-9733x57055,649,210,Completed,17:26:00 07-03-2025
44,Andrew Lawson,Shelter,Davisborough,622.566.7870,72,851,Completed,10:49:00 04-03-2025
45,Derek Potter,Charity,South Laurachester,497-372-7517x026,69,321,Completed,06:15:00 10-03-2025
45,Derek Potter,Charity,South Laurachester,497-372-7517x026,189,152,Completed,09:32:00 13-03-2025
45,Derek Potter,Charity,South Laurachester,497-372-7517x026,515,930,Completed,02:18:00 19-03-2025
47,Taylor Dean,Shelter,Moorechester,297-100-5658,256,822,Completed,08:03:00 19-03-2025
48,Jennifer Graham,Individual,East Saraport,001-979-746-0394x487,47,746,Pending,10:45:00 07-03-2025
48,Jennifer Graham,Individual,East Saraport,001-979-746-0394x487,730,715,Cancelled,13:52:00 03-03-2025
50,Brian Gonzales,NGO,North Sarah,001-241-438-2803x907,184,80,Cancelled,04:01:00 02-03-2025
50,Brian Gonzales,NGO,North Sarah,001-241-438-2803x907,740,199,Completed,06:16:00 20-03-2025
52,Cheryl Dillon,NGO,Hornemouth,350.146.1578,104,882,Completed,00:36:00 05-03-2025
52,Cheryl Dillon,NGO,Hornemouth,350.146.1578,763,331,Cancelled,07:51:00 13-03-2025
53,Cassandra Owens,Shelter,Tomburgh,001-813-193-7735x105,675,897,Cancelled,06:58:00 19-03-2025
56,Deborah Smith,Individual,Jasonshire,996.039.4276x36961,779,508,Cancelled,18:28:00 13-03-2025
57,Christopher Lozano,Individual,New Mary,217-827-0862,811,399,Cancelled,06:39:00 10-03-2025
58,Julia Madden,Shelter,Michaelton,(321)207-8844,153,582,Cancelled,16:14:00 07-03-2025
59,Alicia Thomas,Charity,Lake Mary,(604)320-0347x3019,264,496,Cancelled,13:21:00 03-03-2025
59,Alicia Thomas,Charity,Lake Mary,(604)320-0347x3019,723,228,Pending,04:00:00 12-03-2025
59,Alicia Thomas,Charity,Lake Mary,(604)320-0347x3019,827,964,Cancelled,13:26:00 19-03-2025
62,Nichole Lewis,NGO,North Catherinefurt,777-445-5269x5255,74,487,Cancelled,13:20:00 02-03-2025
62,Nichole Lewis,NGO,North Catherinefurt,777-445-5269x5255,343,553,Pending,15:08:00 18-03-2025
63,David Turner,Charity,East William,4456052297,167,873,Completed,01:38:00 20-03-2025
63,David Turner,Charity,East William,4456052297,404,475,Cancelled,23:03:00 12-03-2025
65,Cody Gardner,NGO,Port Belinda,(565)395-0421x232,92,136,Pending,11:12:00 07-03-2025
65,Cody Gardner,NGO,Port Belinda,(565)395-0421x232,915,441,Pending,17:46:00 01-03-2025
66,Jade Jackson,Individual,West Jaclyn,098-158-2253x172,303,358,Cancelled,12:42:00 03-03-2025
68,Wesley Thompson,Charity,Edwardburgh,+1-901-255-2891x97537,566,320,Cancelled,01:43:00 13-03-2025
68,Wesley Thompson,Charity,Edwardburgh,+1-901-255-2891x97537,617,933,Cancelled,14:23:00 05-03-2025
68,Wesley Thompson,Charity,Edwardburgh,+1-901-255-2891x97537,716,696,Cancelled,02:38:00 03-03-2025
69,Scott Brown,NGO,East Dylan,302-197-9398x95559,625,416,Cancelled,02:15:00 16-03-2025
72,Charles Davidson,Shelter,West Angelatown,+1-294-698-2957,801,131,Completed,15:42:00 04-03-2025
72,Charles Davidson,Shelter,West Angelatown,+1-294-698-2957,839,945,Cancelled,08:13:00 20-03-2025
72,Charles Davidson,Shelter,West Angelatown,+1-294-698-2957,926,43,Cancelled,12:37:00 06-03-2025
74,Patricia Smith,NGO,Laurafurt,(220)453-5600,459,329,Cancelled,07:50:00 13-03-2025
75,Nicholas Smith,Charity,Manningtown,+1-605-970-1115,119,56,Cancelled,15:38:00 18-03-2025
77,Juan Spencer,Individual,North David,+1-144-242-7963x89583,499,921,Cancelled,02:43:00 04-03-2025
86,Jessica Grant,Charity,Smithshire,601.132.1809x716,289,573,Pending,02:03:00 17-03-2025
86,Jessica Grant,Charity,Smithshire,601.132.1809x716,599,307,Pending,18:33:00 19-03-2025
87,Tammy Walker MD,Charity,West Ronaldland,(982)044-7177,346,548,Pending,06:06:00 15-03-2025
87,Tammy Walker MD,Charity,West Ronaldland,(982)044-7177,972,623,Pending,04:36:00 06-03-2025
88,Eric Ryan DDS,NGO,Lake Daniel,001-677-794-6847x02126,20,792,Completed,12:15:00 07-03-2025
